,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies
54,1997,99,8000000,8363899,9615840,11.522,4.4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,9615840,1,187
55,1997,104,90000000,49323468,122823468,11.522,4.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,411006740,5,187
56,1998,121,26000000,65705771,98005666,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,368015934,8,187
57,2005,106,100000000,154696080,330120875,14.913,3.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,330120875,9,187
58,2004,97,25000000,36879320,69372109,14.406,3.8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,330120875,9,187
59,2007,92,130000000,131921738,289047763,15.626,1.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,330120875,9,187
60,1998,89,19000000,8165212,8165212,12.038,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,8165212,1,187
61,2001,122,35000000,31602566,74558115,13.262,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2789968301,157107755,4,187
62,1998,124,20000000,37672941,39278722,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,101866030,3,187
63,1998,122,27000000,10452012,10452012,12.038,4.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,131095614,15,187
64,1998,121,66000000,83898313,189176423,12.038,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2789968301,189176423,4,187
65,2005,97,43000000,24409722,56681566,14.913,3.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,189176423,4,187
66,2000,104,75000000,157299718,296339528,13.130999999999998,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,903655259,9,187
67,2003,134,110000000,214949694,407711549,13.879,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2789968301,903655259,9,187
68,2014,132,200000000,233921534,746045700,16.912,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,903655259,9,187
69,2016,144,178000000,155442489,543934105,17.689,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,903655259,9,187
70,1998,119,23000000,176484651,369884651,12.038,4.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,369884651,11,187
71,2000,116,51000000,90570999,149270999,13.130999999999998,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,369884651,11,187
72,2001,114,40000000,70839203,141069860,13.262,1.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,369884651,11,187
73,2003,118,55000000,33832741,65784503,13.879,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,369884651,11,187
74,2012,92,30000000,44338224,54819301,16.197,2.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,369884651,11,187
75,1998,116,70000000,40981289,116672912,12.038,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,454627263,9,187
76,1999,113,66000000,87704396,212404396,12.611,4.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,212404396,5,187
77,2000,126,80000000,30919168,39459427,13.130999999999998,4.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2789968301,186883563,7,187
78,1999,89,10000000,10827810,10827810,12.611,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,10848783,2,187
79,2001,106,40000000,58856790,91753202,13.262,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,304654182,5,187
80,2004,113,45000000,21009180,34586268,14.406,3.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,304654182,5,187
81,2006,110,25000000,54607383,119498909,15.338,2.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2789968301,304654182,5,187
82,2013,98,92000000,67349198,304654182,16.495,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,304654182,5,187
83,2000,143,90000000,233632142,429632142,13.130999999999998,4.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,678151134,13,187
84,1999,91,8500000,17845337,22593409,12.611,4.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,62274780,5,187
85,2002,99,30000000,51432760,62274780,13.493,1.7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,62274780,5,187
86,2009,86,45000000,25200412,57881056,15.209,-2.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,62274780,5,187
87,2001,93,75000000,5411999,7622365,13.262,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,124596398,4,187
88,2002,145,102000000,132072926,358372926,13.493,1.7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2789968301,1030314141,20,187
89,2017,116,50000000,81903458,179769457,18.108,2.4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2789968301,1030314141,20,187
90,2000,120,15000000,33772838,40863718,13.130999999999998,4.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,40863718,1,187
91,2001,127,50000000,57386607,184928135,13.262,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2789968301,353641895,4,187
92,2008,165,130000000,49554002,211368784,15.605,-0.1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,353641895,4,187
93,2000,93,48000000,37886980,90383208,13.130999999999998,4.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,176885658,7,187
94,2001,95,25000000,5520393,12320393,13.262,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,287553595,3,187
95,2001,87,70000000,112952899,176104344,13.262,1.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,183293131,7,187
96,2005,86,33100000,16809014,17492014,14.913,3.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2789968301,183293131,7,187
97,2002,81,10000000,16037962,16994625,13.493,1.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,212385533,4,187
